text,isHate,original_language,confidence
"Abre el armario de la izquierda, allí están las botellas.",0,spa,0.0
उनकी बातचीत लगभग एक घंटे तक चलती रही।,0,hin,0.0
Me las apañé para llegar a tiempo.,0,spa,0.0
"நீ எவ்வகையான விளையாட்டை ஆடுகிறாய், டோம்?",0,tam,0.0
我期待听到你在这件事上的想法 。,0,cmn,0.0
when  a handsome man marries a man ..we are only bite fingers,0,eng,0.0
எனக்குக் கரடிகளைக கண்டால் பயம்,0,tam,0.0
我在公园遇到了Ken。,0,cmn,0.0
இந்த சீடி அவளுக்குச் சொந்தமானது,0,tam,0.0
टीवी चालू करदोगे क्या?,0,hin,0.0
Viven en una casa alquilada.,1,spa,0.5
"transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose",1,eng,0.5
Todas las visitas regresaron a casa uno tras otro.,1,spa,0.5
"he did the US a great service of killing them and stopping a crime wave and welfare leaches.  to bad he didnt have more of them in the truck. ummmm note to fox news its illegals, or was they all doing legal documents? or did i get something wrong. nope. they was illegals",1,eng,0.5
Me llevaría demasiado tiempo explicarte por qué no va a funcionar.,0,spa,0.0
Ella encerró al niño en la habitación hasta que parara de llorar.,0,spa,0.0
இருவருடங்களுக்கு பிறகு உங்களை பார்க்கிறோம்.,0,tam,0.0
You look like someone who would do an electric wheelchair race with Stephen Hawking.,0,eng,0.0
मैं टैक्सी का इंतेज़ार कर रहा था।,0,hin,0.0
Well my religion isn’t as satanic as yours at least,1,eng,0.6
¿Y nadie le ayudó?,0,spa,0.0
I would donate for an asylum for all these weird kids missing a gene. ,0,eng,0.0
Montones de estrellas brillan en el cielo.,0,spa,0.0
Voy a la escuela porque quiero aprender.,0,spa,0.0
She the one being tense,0,eng,0.0
तुम सरकार की ओर से जा रहे हो या अपने खुद के काम के लिए?,0,hin,0.0
"Child abuse, manipulation etc. What the hell are we transforming this world into??? How sick mind can people have and how stupid can others be to send their kids there???",1,eng,0.6
मैं हमेशा से पेचीदे लोगों में दिलचस्पी लेता हूँ।,0,hin,0.0
anyone else get full body numbness that lasts for weeks and rapid muscle spasms and 'shock' feelings when trying to sleep at night? I can only sleep once every 48 hours :(,0,eng,0.3
La policía te hará encontrar las balas.,0,spa,0.0
The dark cloud is the side of you that you cannot fully understand but its your alter ego that you need to accept or you’ll be deprived of your superpowers.,0,eng,0.0
Anyone who can' cope as the gender they are born needs SERIOUS psychological therapy!!!,0,eng,0.0
他弟弟是个有名的足球选手。,0,cmn,0.0
If you are from Germany I will call you Nazi or Hitler. Then ill protest to hang you,0,eng,0.0
我只是不知道應該說什麼而已……,0,cmn,0.0
Hit did not hit her she hit first and this is defense,0,eng,0.0
"王小明说英语,但英语书不多.",0,cmn,0.0
Steve看上去很高兴。,0,cmn,0.0
Necesita un arreglo.,0,spa,0.0
यह वह गाँव है जहाँ मेरे पिताजी पैदा हुए थे।,0,hin,0.0
"Just shoot her, one less of them to have to deal with in the future.",0,eng,0.0
मैं तो संतुष्ट हूँ।,0,hin,0.0
If your face was used on the inside of a jack-in-the-box there would be an epidemic of children dying from shock and disgust.,0,eng,0.0
我在名古屋生活了1个多月。,0,cmn,0.0
"People are scared of change and things they don't know or understand! There's good and bad in every race, religion and culture!",1,eng,0.5
Beautiful pink dress. Your skin is so beautiful. Your face is so pretty. Your eyes are so sexy. Your lips are so sexy. Your lipstick is perfect.,0,eng,0.3
भीड़ में एक औरत ने मेरी जेब काट ली।,1,hin,0.6
Él pidió prestado dinero al banco para comprar una casa nueva.,1,spa,0.5
我总是在离手不远的地方放一本字典。,0,cmn,0.0
No es algo que pueda hacer cualquiera.,0,spa,0.0
वह जंगल की दिशा में भाग गया।,0,hin,0.0
因患流感而死亡的人不在少数。,1,cmn,0.9
过去我们每个周末都去溜冰。,0,cmn,0.0
Él ha decidido casarse finalmente.,1,spa,0.5
When you came into my country you knew you are going to be slave and work building shits. So shut up and take it cause otherwise am going to end you and get you out of here sand shit,0,eng,0.3
这显然是今年出版的最好的小说。,0,cmn,0.3
நான் ஒரு வழி காட்டி,0,tam,0.0
"Déjeme en la estación, por favor.",0,spa,0.0
उस राजा से उसकी ताक़त छीन ली गई।,0,hin,0.0
இந்த சூழ்நிலையில் நான் என்ன செய்ய வேண்டும் என்று நீ நினைக்கிறாய் என்று சொல்.,0,tam,0.0
她一到，我们就开始。,0,cmn,0.0
Gracias por tu explicación.,0,spa,0.3
我不知道他什么时候从法国回来。,0,cmn,0.0
父亲示意我离开会议室。,0,cmn,0.0
அவளிடம் 2000 புத்தகங்கள் உள்ளன,0,tam,0.0
沿着这条路直走，到第三个红绿灯的地方右转。,0,cmn,0.0
உங்கள் பாசம் அமிழ்தம் போன்றுள்ளது .,0,tam,0.0
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,1,eng,0.6
நான் ஒரு வழி காட்டிக் கொண்டு இருக்கிறேன்,0,tam,0.0
你能猜到我的年龄吗？,0,cmn,0.0
"Well I'm an woman and I was born in Guatemala, Em... I dont see anything wrong with Guatemala.",1,eng,0.6
Even straight boys played with Barbies when they were kids!  Not an issue.,0,eng,0.0
दरवाज़े पर ताला लगा हुआ था और हम अंदर नहीं जा सके।,0,hin,0.0
La respuesta nos lleva a un círculo vicioso.,0,spa,0.0
¿Quién ha pintado este cuadro?,0,spa,0.0
मेरे बॉस ने मुझसे पिछले रविवार को काम करवाया।,0,hin,0.0
"If you are a fking queen, you can move in any direction. So please move away from the camera that was used to take this picture. That applies to every women",1,eng,0.6
Terminamos el trabajo un poco antes de las diez.,0,spa,0.0
Mi jefe rechazó el presupuesto para el nuevo proyecto.,0,spa,0.0
¡Qué irritante... Ahora me da dolor de cabeza cada vez que uso el computador!,0,spa,0.0
"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.",1,eng,0.6
"I was clinically depressed for a while and this blew my mind. Due to me having stress I don't say 'oh man I'm getting anxiety' or 'ugh I'm so depressed' because all that does is brings attention I don't want.  The fact that people make these illnesses a fashion merch makes me feel like everyone is looking in my or other people's directions. Memes are relatable,funny, and relieving. When he said 'Do people who post these memes have a mental illness or are they just doing it for ..' it made me wonder alot   Now Ik what people are capable of nowadays",0,eng,0.3
तुम कब लौट कर आओगे?,0,hin,0.0
我不明白为什么你这么批评他。,0,cmn,0.0
ये नियम हैं। इनके मुताबिक कम करिए।,0,hin,0.0
तुम्हें फ़िल्म देखनी चहिए थी।,0,hin,0.0
"I could not be as brave if I lost my son and husband, bless her strength and kind heart.",0,eng,0.0
"No pienso, luego no existo.",0,spa,0.0
她没有辜负我们的期望。,0,cmn,0.0
也许我会马上放弃然后去打盹。,0,cmn,0.0
首先，我要听听双方的意见。,0,cmn,0.0
Yukio Mishima se suicidó en 1970.,0,spa,0.0
Not only the politicians are going into the wood chippers but also the police.,0,eng,0.0
I hate mentally disabled people trying to touch my kids.,0,eng,0.0
the only thing that annoys me is noisy neighbours and their music.,0,eng,0.0
A veces él puede ser un chico raro.,0,spa,0.0
मुझे लगता है वह सही है।,0,hin,0.0
This literally made my emotional bi ass cry,0,eng,0.0
Looks like the gay poster boy with syphilis,1,eng,0.6
"Only a fag doesn't want to see two chicks do it, you don't want your son to grow up to be a fag right?",0,eng,0.0
Eso es porque no quieres estar solo.,0,spa,0.0
他们有他们自己的文化。,0,cmn,0.0
"Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian",1,eng,0.9
她和她妹妹一样亲切。,0,cmn,0.0
Davis先生看上去很累。,0,cmn,0.0
Those black people are fucking pale,0,eng,0.0
Hello I'm calling from tech support *with Indian accent*,0,eng,0.0
उस लड़की ने रोने के अलावा और कुछ नहीं किया।,0,hin,0.0
No puede matarse conteniendo su respiración.,1,spa,0.6
அவனுக்கு நம்மைப் தெரியும் என்று தோன்றுகிறது,0,tam,0.0
beeing gay is anti human,1,eng,0.6
Me desnudo.,0,spa,0.0
हमारे पास कितनी कटोरियाँ हैं?,0,hin,0.0
一个丑男人敲了我的门。,0,cmn,0.0
this is probably the first time i’ve seen someone who looks like a child and pedophile at the same time,0,eng,0.0
டாம் உயிர் பிழைத்தவர்.,0,tam,0.0
“你想再来点咖啡吗？”“不，谢谢。我够了。”,0,cmn,0.3
¿Qué piensas que estaba haciendo?,0,spa,0.0
"You look kinda dead inside, you parents must not haved loved you. ",0,eng,0.3
Australia es más pequeña que Sudamérica.,0,spa,0.0
邻居看见信箱不是空的。,0,cmn,0.0
முத்தம் கொடு.,0,tam,0.0
好好睡了一觉以后，我感觉好多了。,0,cmn,0.3
நான் தூங்கினேன்.,0,tam,0.0
除了雨天，我都是骑车去上班的。,0,cmn,0.0
Llevó a cabo su propio plan.,0,spa,0.0
जापान में स्कूल अप्रैल में शुरू होता है।,0,hin,0.0
If it takes you a year of interviewing to come to these very basic conclusions how brain washed do you have to be. Damn.,0,eng,0.0
Le dieron gracias a Dios.,0,spa,0.3
Él se metió en el agua antes que yo.,0,spa,0.3
We were taught as kids to not hit ANYONE. When did that go out the window?,0,eng,0.0
"""என்னை நம்பு"" என்று சொன்னாள்.",0,tam,0.0
再走一步的话，你就已经跌下楼梯了。,0,cmn,0.0
 Don't say I'm not your type,0,eng,0.0
God bless you dears,0,eng,0.0
¿Cuánto tiempo estuviste?,0,spa,0.0
मैंने उस औरत को गुस्सा दिलाया।,1,hin,0.6
Jane正要离开家。,0,cmn,0.0
उसको पैसों की कमी थी।,0,hin,0.0
"Por alguna razón, el micrófono no había funcionado hasta entonces.",0,spa,0.0
Estoy casada y tengo dos niños.,1,spa,0.5
मेरे दिमाग़ में एक अच्छी तरक़ीब सूझी है।,0,hin,0.0
நான் வழி காட்டப் பட வில்லை,0,tam,0.0
Salvo que aquí no es tan simple.,0,spa,0.0
FUCK GAYS disgusting,1,eng,0.6
Filthy Chinese ,0,eng,0.0
मैं कल नदी किनारे मछलियाँ पकड़ने गया था।,0,hin,0.0
வீட்டிற்கு வா.,0,tam,0.0
Dudar de sí mismo es la primera señal de inteligencia.,0,spa,0.0
मुश्किल यह है कि उनके पास समय नहीं है।,0,hin,0.0
उसने सौ डॉलर बचा लिए।,0,hin,0.0
सवाल यह है कि वह आखिरकार आएगा कि नहीं।,0,hin,0.0
चोरों ने घर के मालिक का मुंह बंद कर दिया तथा उसे कुर्सी से बाँध दिया।,1,hin,0.5
"Trace, I would ask you to rethink the out of Africa myth. Since the out of Africa theory was proposed, there have been many discoveries that prove modern humans existed in other parts of the world much earlier than what was thought when the OOA theory was proposed. For instance, there have been skeletal remains of humans found in Asia that are many thousands of years older than the oldest found on the African Content. It amazes me that there is so much information out there that shows older humans elsewhere on Earth but people still adhere to the falls narrative that modern humans evolved on the African continent",0,eng,0.0
हवाईजहाज़ ने ठीक छः बजे उड़ान ली।,0,hin,0.0
Las únicas respuestas útiles son las que plantean nuevas preguntas.,0,spa,0.0
"¿Generalmente quién visita más a sus padres, los hijos o las hijas?",0,spa,0.0
वे जल्द ही शादी करने वाले हैं।,0,hin,0.0
यह वही किताब है जिसे मैं पढ़ना चाहता था।,0,hin,0.0
他的忠告总是很明智。,0,cmn,0.0
அனைவரும் வெளியே விரைந்தனர்.,0,tam,0.0
இன்று மாலை ஆறு மணிக்கு அவனை நான் சந்திக்கிறேன்.,0,tam,0.0
कल बारबरा की गाड़ी चलाने की परीक्षा कैसी गई?,0,hin,0.0
人人都愿意相信美梦可以成真。,0,cmn,0.0
I hate white flour and white sugar. Are two of the three white deaths!!,0,eng,0.0
It is time for Trump to find a natural death or somehow a bullet finds him and puts us out of his misery.,0,eng,0.0
I'm glad someone finally also brought light on the pay gap in asian countries (description of video) because frankly often it is only focused on the US where the pay gap is really small already compared to asian countries. (in the US it's about 6%),0,eng,0.0
"இந்த கர்ச்சனையின் பின்னால் என்னதான் உள்ளது ?உண்மையில் ,ஒரு விதத்தில் நாம் எல்லாஇடமும் பார்க்கும் பூனைக்குடும்ப விலங்குகளும் ஒரேமாதிரியானவைதான்",0,tam,0.0
"So, in other words, women's rights are freedom from responsibility and men's rights are responsibility. Is she serious?",1,eng,0.6
No puedes aparcar tu coche aquí.,0,spa,0.0
"Trumps a liar and an idiot, a douche bag , Narcissist, and Zionist boot licker.",1,eng,0.6
मैं इस कोटे तक भला कैसे पहुंच सकता हूँ?,0,hin,0.0
Esta semana hay tres exámenes parciales.,0,spa,0.0
"Ella no sólo es guapa, sino también amable.",0,spa,0.0
ऐनडर्सन कुत्तों से बहुत डरता है।,0,hin,0.0
I dare you to choke her next time. Every one of them,0,eng,0.0
मैं क्योटो गया हुआ हूँ।,0,hin,0.0
大家都知道她的英语说得很好。,0,cmn,0.3
El axioma de Cole: La suma de la inteligencia de la humanidad es constante; la población crece.,0,spa,0.0
நான் அவனுக்காக அதைச் செய்ய வேண்டும் என்று டாம் விரும்புகிறார்.,0,tam,0.0
उसने आखिरकार सवाल का जवाब ढूँढ निकाला।,0,hin,0.0
"The most peaceful religions came from India like Buddhism, jainism etc.",1,eng,0.6
Mi padre suele ayudarme con los deberes.,0,spa,0.3
मैं अंदर आ सकता हूँ क्या?,0,hin,0.0
¿Qué es eso?,0,spa,0.0
"Apple is trying to be that one company that the whole world basically depends on in the future. (You know, those future movies where one company does everything.)",0,eng,0.0
मुझे नहीं पता वह कब आएगा।,0,hin,0.0
¡Ni siquiera pienses en comerte mi chocolate!,0,spa,0.0
Most Americans are nazis or kkk members so they elected  Trump.,0,eng,0.0
கண்ணாடி வீட்டில் வசிப்பவகள் கல்லை எறியக் கூடாது,0,tam,0.0
对不起，我不能待很久。,0,cmn,0.0
"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",0,eng,0.0
她是什么时候出生的？,0,cmn,0.0
मेरे पास एक कुत्ता है।,0,hin,0.0
"उसके पास एक बेटा है, और वह डॉक्टर बन गया है।",0,hin,0.0
तुम घर पे हो क्या?,1,hin,0.5
"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?",1,eng,0.8
"बहुत देर हो गई है, मुझे वापस जाना चहिए।",0,hin,0.0
வானம் முழுவதும் நட்சத்திரங்கள் இருக்கின்றன,0,tam,0.0
"तुम जो भी कहो, मैं तो उससे ही शादी करूँगा।",0,hin,0.0
Se oyó un sonido en el dormitorio.,0,spa,0.0
நான் வழி காட்டுவேன்,0,tam,0.0
These girls are so pretty seriously. Being autistic is such an interesting experience and I am happy to be autistic!,0,eng,0.3
Eres bueno cocinando.,1,spa,0.5
तुम कैसी हो?,0,hin,0.0
很难在2、3年内掌握法语。,0,cmn,0.0
இது செர்பியாவின் மூன்றாவது பெரிய நகரம்.,0,tam,0.0
Every time that blonde lady talks I loose twenty brain cells,0,eng,0.0
உங்களுக்கு எத்தனை குழந்தைகள்?,0,tam,0.0
மறுபடியும் சந்திப்போம்,0,tam,0.0
三年前我来到东京并一直住在这儿。,0,cmn,0.0
Smack that bitch up - mouthy African cunt,0,eng,0.0
हमारे लिए उसका घर ढूँढना आसान नहीं था।,1,hin,0.5
他父母对他期望过高。,0,cmn,0.0
"To say that black lives matter, is not racist statement. But the B.L.M. organization itself is racist group. If they could just quit hating white people and turn that energy towards their own community, the biggest group of black oppressors there is, they might make a difference.",0,eng,0.0
பால் நான் வெறுக்கிறேன்.,0,tam,0.0
Todo el mundo se merece una segunda oportunidad.,0,spa,0.0
இங்கிருந்து வெளியே செல்ல சுலபமான வழியில்லை.,0,tam,0.0
Las apariencias de las personas engañan.,0,spa,0.0
"Si no lo hago ahora, nunca lo haré.",0,spa,0.0
这条狗被这家人叫做“Spot”。,0,cmn,0.0
Eres mi tipo.,0,spa,0.0
मेरे पिता ने सिगरेट पीना बंद कर दिया।,0,hin,0.0
यह क्या है?,0,hin,0.0
"कल मेरा जन्मदिन है, और मैं सत्रह साल का हो जाऊँगा।",0,hin,0.0
चोर अंत में तो पकड़ा ही जाएगा।,0,hin,0.0
"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways",0,eng,0.0
No te preguntaré más por hoy.,0,spa,0.0
¿Querías hablarme de libertad?,0,spa,0.0
அதற்கு இப்போது உதவி தேவை.,0,tam,0.0
அவர்கள் கிளம்ப இருக்கிறார்கள்,0,tam,0.0
La madre de ella es una bella mujer.,1,spa,0.6
他的医生命令他休息。,0,cmn,0.0
मुझे याद है कि मेरी माँ ने मुझे क-ख-ग-ध सिखाए थे।,0,hin,0.0
"Él intentó dejar el tabaco, pero fue inútil.",1,spa,0.6
我弟弟手里拿着一个摄像机。,0,cmn,0.0
मैं सफ़र पर उसके साथ गया।,0,hin,0.0
"La vida es dura, pero yo soy más duro.",0,spa,0.0
वह अरबी पढ़ सकता है।,0,hin,0.0
“是谁？”“是你妈妈。”,0,cmn,0.0
"people have rights to follow there own religion, if they try to force people not the following there religion then that country running a dictatorship, hopefully soon there will be change in low by the international pressure,",1,eng,0.6
Quizás sea lo mismo para él.,0,spa,0.0
"""¿Qué habrá en la cueva? Tengo curiosidad."" ""No tengo ni idea.""",0,spa,0.0
This fcking jew wants money? I’ll give him only my dick if he wants,0,eng,0.0
How can Europe allow millions of rapists animals to go there ?,0,eng,0.0
No hablo japonés.,0,spa,0.0
Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,0,eng,0.0
"नहीं, मुझे नहीं लगता कि ग़लती मेरी है।",0,hin,0.0
Gano 100 € al día.,0,spa,0.3
"Come out of the closet, we know you're in there, we'll bury you. ",0,eng,0.0
All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,0,eng,0.0
हमें टैक्स भरना पड़ेगा।,0,hin,0.0
由于缺水，花园里所有的花都死了。,1,cmn,0.5
"Mi tío me compró un reloj, que es muy exacto.",0,spa,0.0
आप कभी अफ़्रीका गए हुए हैं क्या?,0,hin,0.0
¿Realmente necesitas preguntar para saber la respuesta?,0,spa,0.0
मैं सात बजे सोकर उठता हूँ।,0,hin,0.0
他的容貌改变了许多。,0,cmn,0.0
I would beat the shit out of every Russian,0,eng,0.0
Hindus take my ass please,1,eng,0.6
அவ்வேளையில் அது என்ன என்று நான் அறிந்திருக்கவில்லை.,0,tam,0.0
शेर मास खाते हैं।,0,hin,0.0
Es muy sexy.,0,spa,0.0
Los japoneses se quitan los zapatos al entrar en una casa.,1,spa,0.5
他睡着的时候，打呼声很响。,0,cmn,0.0
Don't ever kill yourself no matter what other people think or say about you it just matters what you think about yourself and how you feel,1,eng,0.6
Es una lástima que yo no tenga que adelgazar.,0,spa,0.0
"Aunque él se disculpó, aún estoy enojada.",0,spa,0.0
Ella me invitó a su casa.,1,spa,0.5
आज मौसम काफ़ी ठंडा है।,0,hin,0.0
उन दो मंदिरों में तोदाइजी बड़ा वाला है।,0,hin,0.0
में घर पहोंचने ही वाला था की कार में तेल ख़तम हो गया.,1,hin,0.5
"Escriba aquí, por favor.",0,spa,0.0
Victimizing yourself doesn’t help,0,eng,0.3
你可以买你喜欢的那个，而不是两个都买。,0,cmn,0.0
That Asian bloke needs a shave or cover up his hideous beard with a burqa!,0,eng,0.0
如果可能的话，这周末。,0,cmn,0.0
உன் கையில்தான் இருக்கிறது,0,tam,0.0
"Si pudiera enviarte un malvavisco, Trang, lo haría.",0,spa,0.0
¡Mira hacia atrás!,0,spa,0.0
वह कम-से-कम तीस साल का तो होगा।,0,hin,0.0
With no legs you are just a bag of meat in your household. Do them the favour and get dead already,1,eng,0.5
¡Abra la boca!,0,spa,0.0
Ken me batió al ajedrez.,0,spa,0.0
护士会告诉你怎么做。,0,cmn,0.0
你回来之前我已经走了。,0,cmn,0.0
交通事故没有一天是不在发生的。,0,cmn,0.0
"Por favor, ¿dónde están los huevos?",0,spa,0.0
டாம் ஒரு வருடத்திற்கு முன்னால் ஆஸ்திரேலியாவில் இருந்தார்,0,tam,0.0
உனக்கு பாடல்கள் பிடிக்குமா?,0,tam,0.0
I very much appreciate the Asian woman's smarts.,1,eng,0.6
तुम कहाँ रहती हो?,0,hin,0.0
当我们想到男女在社会中的传统角色时，我们认为丈夫养家，妻子照顾孩子和家庭。,1,cmn,0.5
Fck  serbije  kill  them all,1,eng,0.6
Iconic woman she's done so much for the UN,1,eng,0.6
Su mujer es francesa.,1,spa,0.6
要决定在节日的时候穿什么是件累人的事。,0,cmn,0.0
all mental illnesses are awful and must be treated,0,eng,0.0
他和他的姐妹们目前都住在东京。,0,cmn,0.0
वह घर मेरा है।,1,hin,0.5
¿Qué hacía tu madre cuando volviste a casa?,1,spa,0.5
Has anyone cried in front of their parents and feel totally ashamed and invaded afterwards ?,0,eng,0.0
许多人在工业城市工作。,0,cmn,0.3
இன்று மாலை ஆறு மணிக்கு அவன் என்னை சந்திக்கிறான்.,0,tam,0.0
कोबे वह शहर है जिसमें मैं पैदा हुआ था।,0,hin,0.0
Siempre pensé que el tener un ataque cardiaco era la manera de la naturaleza de decirte que mueras.,0,spa,0.0
"That’s wrong! Even though they disagree with her beliefs, they have no right to put their hands on a woman",1,eng,0.6
அவர்கள் அவர்களை பார்க்கவில்லை .,0,tam,0.0
Nuestro encuentro fue totalmente casual.,0,spa,0.0
நான் வெளி நாட்டிற்குச் செல்ல விரும்புகிறேன்,0,tam,0.0
ABU DA BI ABA DU BA BA HAMUD! See? I’m an arab priest too. This is how they sound. right? They are jokes,0,eng,0.0
खाना बनाना मुझपर छोड़ दो।,0,hin,0.0
What would the abuser doing to her around the neck? Stupid dick (the abuser),1,eng,0.6
All these women have such obvious respect and admiration for each other,1,eng,0.6
"¡No sé cómo demostrarlo, ya que es tan evidente!",0,spa,0.0
Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.,0,eng,0.0
அது நடக்கும் என்று எனக்குத் தெரியும்.,0,tam,0.0
李红法语比旺月说得好.,0,cmn,0.3
यह तुम्हारी डीवीडी है क्या?,0,hin,0.0
तुम्हारी किताब कौनसी है?,0,hin,0.0
现在的孩子认为解决任何生活问题都像重新开始一个电脑游戏那么简单。,0,cmn,0.0
El asunto de su propuesta está en consideración.,0,spa,0.0
यह वही चीज़ है जिसकी मुझे ज़रूरत है।,0,hin,0.0
Tengo clase mañana.,0,spa,0.0
कैसा चल रहा है?,0,hin,0.0
வேகமாக வா.,0,tam,0.0
क्या तुम इसे राज़ रख सकते हो?,0,hin,0.0
He had a valid point. If your obese don't go out in public especially a all you can eat. Unless you want to see looks or hear remarks. Or just lose that weight. If you don't want to be a fat ass and you don't like what you look like change it.,0,eng,0.0
Kill all muslims,1,eng,0.9
मैं अपनी गर्दन नहीं घुमा सकता क्योंकि बहुत दर्द होता है।,0,hin,0.0
Suelo oírla tocar el piano.,0,spa,0.0
Women are equally as strong as men.    They should be able to defend themselves.,1,eng,0.6
I'm very sad about this fucking situation with all this muslims,1,eng,0.6
Mucha gente vaga por la vida sin una meta.,0,spa,0.0
我对你的厚颜无耻感到惊讶。,0,cmn,0.0
他看上去是一个十足的绅士。,0,cmn,0.0
"The lady on sitting on the left, with the yellow jacket, is the epitome of a ""smart retard"".",0,eng,0.0
"कौन ज़्यादा तेज़ भागता है, केन या टोनी?",0,hin,0.0
我没见过也没听过这样的事。,0,cmn,0.0
मेरे पापा अभी अभी घर वापस आएँ हैं।,1,hin,0.5
क्या मैं कमरा साफ़ कर सकती हूँ?,0,hin,0.0
ஒரு சதுரத்திற்கு நான்கு பக்கங்கள் உள்ளன,0,tam,0.0
爱，就是一个人把另一个人的心揉碎的过程。,0,cmn,0.3
3的三次方等于27。,0,cmn,0.0
मैं उससे सच्चा प्यार करता था।,0,hin,0.0
他登上了前往洛杉矶的飞机。,0,cmn,0.0
நான் கழிவறைக்குச் செல்ல வேண்டும்.,0,tam,0.0
இரயிலில் என்னிடம் ஜேப்படி அடிக்கப் பட்டிருந்தது,0,tam,0.0
Es una sorpresa.,0,spa,0.0
हम काम खतम करके घर लौट गए।,1,hin,0.5
La última persona a la que le conté mi idea pensó que yo estaba loco.,0,spa,0.0
"जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगा।",0,hin,0.0
¿Hablas italiano?,0,spa,0.0
हेलेन घर आते ही बीमार पड़ गई।,1,hin,0.5
हम जब तक अपना स्वास्थ्य नहीं खो देते हैं तब तक उसकी असली कीमत नहीं पहचानते हैं।,0,hin,0.0
सही और ग़लत में अंतर करना मुश्किल होता है।,0,hin,0.0
वह और उसकी पत्नी दोनो के पास गाड़ियाँ हैं।,0,hin,0.0
我爸爸去世有10年了。,0,cmn,0.0
அவன் வழி காட்டுகிறான்,0,tam,0.0
你知道从火车站到市政府有多远？,0,cmn,0.0
उसने मेरे लिए टेक्सी बुलवाई।,0,hin,0.0
他和班上其他男生一样聪明。,0,cmn,0.0
Tell me where to ship this comfy electric chair for your kid,0,eng,0.0
वह बहुत अकलमंद है।,0,hin,0.0
"अगर वह इस तरह मन लगाकर पढ़ता रहेगा, तो परीक्षा में अवश्य पास होगा।",0,hin,0.0
