text,isHate,original_language,confidence,source
RT @flemingryan5: @SavannaaSanford hoe,1,eng,,davidson
You scum bro RT @HURRICANESENSEI: When tha pussy was trash but she still txt yu... http://t.co/5tasiq5YO8 my life ain't shit,1,eng,,davidson
I be teaching bitches how to clear the bong mon,1,eng,,davidson
இந்த சூழ்நிலையில் நான் என்ன செய்ய வேண்டும் என்று நீ நினைக்கிறாய் என்று சொல்.,0,tam,0.0,
Lil Wayne has fucked every bad bitch in the game,1,eng,,davidson
Islam is  the home of terriorism .,1,eng,0.9,
"RT @OfficiallyIce: ""That's why you're so good at this game. Cause u sit on your unemployed nigger ass playing all day.""",1,eng,,davidson
"Get a bitch, break a bitch",1,eng,,davidson
Id rather be your niggah,1,eng,,davidson
@ennuitimes clever monkey!,0,eng,,davidson
This bitch is mad because her man cheated but she cheated too!!!! Why you mad?!!!,1,eng,,davidson
நான் வீட்டிற்கு நடக்க வேண்டியிருந்தது,0,tam,0.0,
this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.,1,eng,0.9,
Every bitch was born to break a man,1,eng,,davidson
RT @Just2Savage: This height shit aint cute at all. Yall some dumb hoes going out in public looking like Jack and the bean stalk. &#128514; http://&#8230;,1,eng,,davidson
मैं १९६० में पैदा हुआ था।,0,hin,0.0,
"@Misplaced_Momma 
Y&#8217;all whitey gots to PAY fo da preparations",1,eng,,davidson
मेरी दो बहनें हैं और दोनो की शादी हो चुकी है।,0,hin,0.0,
He got hoes for sell! Shop with him! #lmfao #TrekGang http://t.co/iuCM6OEVy3,1,eng,,davidson
Tired of hoes man,1,eng,,davidson
@ShawnieceQB i remember a time when Hilfiger wus seen as being above Polo...until he said he aint wan niggers wearing his ish...,1,eng,,davidson
我们一起学习吧,0,cmn,,synthetic_neutral
我不知道她是什么时候结婚的。,0,cmn,0.0,
Too bad Brandon Lavergne isn't gonna have that vein spiked at Angola. #mickey,0,eng,,davidson
वह अपनी पढ़ाई में बहुत ध्यान लगाती है।,0,hin,0.0,
Long yellow.,0,eng,,davidson
Because idk if your still tryna get with her again or not?... &#8212; bitch i might be http://t.co/FPJQpcH99K,1,eng,,davidson
After traumatic brain injury turned gay. I don't know which is worst. Suicide is the way.,1,eng,0.6,
No es del todo raro vivir más de 90 años.,0,spa,0.0,
http://t.co/74uLxaf &lt;--this bitch @vewxyz,1,eng,,davidson
' Leo Apolonio Look this niggah did a drive by on the bike http://t.co/3NisWlPNeC,1,eng,,davidson
风刮得太猛，他们没法在公园里玩了。,0,cmn,0.0,
RT @ImHis_Treasure: For the last few weeks my name been cripple &#128555;&#9855;&#65039;,0,eng,,davidson
"RT @steveersh: I'm a star jones man myself, I love that big bitch",1,eng,,davidson
These niggas cars be $800 and they have the nerve to put some 2500 rims and some speakers in the bitch,1,eng,,davidson
RT @awkwardposts: Flirting with bitches on Twitter like http://t.co/eV2QUYsbpO,1,eng,,davidson
@Buster_ESPN Sounds like they are holding back info.......Yankee shill,0,eng,,davidson
"RT @MillerThaGod: When Kendrick Lamar said ""I call a bitch a bitch, a hoe a hoe, a woman a woman."" I knew he was onto something. He was pre&#8230;",1,eng,,davidson
"Customers be tryna act like you don't understand what they're saying, no bitch, YOU don't understand what I'M saying.",1,eng,,davidson
&#8220;@LeggsMania: @PhenomenalRo you not gone leave hoe&#8221;&#128514;&#128514;&#128546;,1,eng,,davidson
No pienso poner la casa en alquiler.,1,spa,0.5,
RT @Yannapyt: it ain't nothing to cut that bitch off &#127908;&#127911;,1,eng,,davidson
Hoes gon always be hoes or have they hoe ways at least.,1,eng,,davidson
lmfaoooo RT @HarleyyyQuinn_: Wiz is a perfect example of how fame can get you bitches. He looks like your typical tweaker homeless woman.,1,eng,,davidson
RT @AdolfNiggler: when an ugly bitch tells me to text her http://t.co/060glx19oR,1,eng,,davidson
Este 音乐 es 棒,0,spa,,synthetic_neutral
That pussy fat whatchu feeding it?,1,eng,,davidson
"RT @KevinHart2ReaI: All Bow Wow hoes on the stage, lol",1,eng,,davidson
lmaooooo RT @SirAsshole: when you sit in a ghetto girls seat at lunch https://t.co/HaSLMb1Dzj,1,eng,,davidson
Yu a bitch made nigga,1,eng,,davidson
@JustKarahn bye hoe,1,eng,,davidson
"RT @VineForTheByrd: Bae: go text your hoes 
Me: https://t.co/5hetoweSES",1,eng,,davidson
"@Hunglikerobby_ @triple6em96 @bbluedreamm brush lets just ignore the silly hoe. She's pregnant, hella hormones. tryna fuck with other people",1,eng,,davidson
"I'm off work, where the naked hoes and alcohol?",1,eng,,davidson
"@izziorizzi i'm not a trash talker, brah. i'm polite and diplomatic on and off the court.",0,eng,,davidson
यह 电影 beautiful है,0,hin,,synthetic_neutral
今天糟糕透了，所以我准备去喝一杯就直接上床。,0,cmn,0.0,
I'll get so much pussy. http://t.co/2plTXgQiqE,1,eng,,davidson
RT @RubyFakhoury: We out dis bitch &#128588; http://t.co/Vb8C2Pjnvi,1,eng,,davidson
&#8220;@Garricka_: Ima just block you hoes out!&#8221;or block em either one lol,1,eng,,davidson
Riding my quad with this bitch &#128540; http://t.co/EpPeMQfXxO,1,eng,,davidson
@TomcatStraight tounge punching smelly turtle pussy,1,eng,,davidson
@Yankees ugh,0,eng,,davidson
@Mike_Stud so is my pussy,1,eng,,davidson
RT @_yeaimmaBOSS: &#8220;@100046729: I wonder if I @ oomf I be like I want fuck would I be wrong or &#128533;&#8221; you a be one brave as bitch&#128514;&#128514;,1,eng,,davidson
Ms St aint no hoe. They fuckin Auburn up,1,eng,,davidson
Don't fucc wit Coward cuz he a bitch n left LA,1,eng,,davidson
@godrocamora416 faggot,1,eng,,davidson
Ik his bitch ass saw me mentioned his tall ass,1,eng,,davidson
यहाँ कैफ़े है क्या?,0,hin,0.0,
@Lord_Fernandooo stfu nigguh I've been reading the manga for the longest and you know that,1,eng,,davidson
RT @Norsu2: Democrats to push income inequality as top issue of 2014 http://t.co/6fMioxUIgK Charlie Baker (R) veers further left all in w D&#8230;,0,eng,,davidson
RT @FoodTabloid: Oreo cake http://t.co/iJ0idCAQMl,0,eng,,davidson
@xDSmooth I'm not goin oml I'm finna drop this bitch,1,eng,,davidson
Lmfaoooooo RT @BryceHamilton11: I'm so glad my shorty ain't all over twitter and IG tryna be a famous Columbus hoe &#128514;&#128514;&#128514;&#128514;,1,eng,,davidson
मेरे पापा को गर्मी के मौसम से नफ़रत है।,0,hin,0.0,
Or their music is trash,0,eng,,davidson
"RT @Unnforgivable: Listen, cunt: Today ain&#8217;t yo day",1,eng,,davidson
晚上 wonderful,0,tam,,synthetic_neutral
RT @MasterSleepy: @JefDaBest cranberry juice niggah ... 100% cranberry with vitamin c ... You'll piss it out,1,eng,,davidson
RT @NoChillPaz: If a bitch talks shit to me I'm gonna lick my thumb and swipe her eyebrows off,1,eng,,davidson
Este es el chico en quien pienso.,0,spa,0.0,
RT @LiFEOf_AYUNgIN: That pussy is never yours it's just your turn remember that . &#128175;,1,eng,,davidson
@abbywiseman1 haha you were that bitch on our team &#128521;,1,eng,,davidson
I wanna get this hoe on my arm with a diamond coming out of the cloud..&#9729;&#65039;&#128142; #RIPRICK http://t.co/Kdy74OHUtw,1,eng,,davidson
"#QTNA RT @Major_K8: How y'all bitches gon breast feed wit nipple rings? &#128563;&#128534;""",1,eng,,davidson
மெதுவாகவும் தெளிவாகவும் பேசுங்கள்,0,tam,0.0,
RT @stillandru: White ppl will call Mexicans beaners and claim they taking their jobs but have sugar skull tattoos :-(,1,eng,,davidson
RT @HG_Shit: Cause bitch I'm Tae !! #KingLute,1,eng,,davidson
All the work gone so we ain't going nothin but fucking bitches in the trap,1,eng,,davidson
RT @GorgeousCamry_: &#128514;&#128514; hoes be in everybody clothes and got the nerve to take a picture man that shit crazy !,1,eng,,davidson
"@Morning_Joe If NBC has elected you to be a spokesman for NBC they are in a lot of trouble. I and friends will no longer watch NBC trash

1",0,eng,,davidson
These people are fucking animals they will never change. Our cultures are simply not compatible. There is definitely a rape culture and it√¢¬Ä¬ôs right here with Islam.,1,eng,0.6,
@aurabogado el negro?,0,eng,,davidson
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",1,eng,,davidson
RT @ThottyGlo: How quick your bitch will text another nigga whens shes mad at you http://t.co/uRSI7AjUMP,1,eng,,davidson
看见新鲜龙虾，我有了食欲。,0,cmn,0.0,
RT @ChiefOpe: #BadCombinations An Ugly bitch who's loud af,1,eng,,davidson
That dude RENT ain't no punk-bitch either.,1,eng,,davidson
Follow a nicca on IG: im_hollywood_jay,1,eng,,davidson
Like stop being a bitch for 3.2 seconds.,1,eng,,davidson
"I aint saying you a bitch, But you be acting like a female, dog.",1,eng,,davidson
@_reathie u better sit yo ass in that bitch til 330,1,eng,,davidson
"@Claudialena8 she wasn't saying she did, but yes me and Kannon have both been in the ghetto and know what it's like so u look dumb.",0,eng,,davidson
Fat bitch,1,eng,,davidson
"Johnny le propuso matrimonio a Alice, y ella aceptó.",0,spa,0.0,
he not gay? no he just fuck with busted basic bitches lol,1,eng,,davidson
RT @Ovoxo_alamillo: When hoes talk shit about other hoes... I'll just leave this here.,1,eng,,davidson
वह मेरा ममेरा भाई नहीं है।,0,hin,0.0,
RT @Broski5519: Lmao.. bitches hate u but still follow u...,1,eng,,davidson
@chanelisabeth that nigger music,1,eng,,davidson
RT @ILongDickHoes_: When bitches say that your dick game is stupid http://t.co/cW5uOqx4DS,1,eng,,davidson
RT @YungRetweet: @Versharky bitch,1,eng,,davidson
Woot! RT @Yankees: #Yankees completed their sixth series sweep of the season and fourth at home.,0,eng,,davidson
"@freeyungnwild ""bitches talk shit, you got the right to swerve"" god damnit you are da shittt",1,eng,,davidson
"Fucked your bitch, just met her &#128527;",1,eng,,davidson
RT @KY_Chelley: Gemma you sure are a dirty bitch! Jax your dad tried to warn you! #SonsOfAnarchy,1,eng,,davidson
@RavenPeltier_ these hoes ain't loyal,1,eng,,davidson
"Mi padre no está en casa, pero sí mi madre.",1,spa,0.5,
I be damn if i go ova dea n get my ass blown&#128163; up i kno wat it look like bitch i play &#128299;Call Of Duty frequently,1,eng,,davidson
घर को आग ने सरासर नष्ट कर दिया।,1,hin,0.5,
These hoes always gone Thot around to who ever give them attention at the time,1,eng,,davidson
@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:,1,eng,,davidson
RT @realist_iLLest: &#8220;@187XO_: Before I run from a niggah I'll lose the fight&#8221;,1,eng,,davidson
@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..,1,eng,,davidson
RT @daijahshardaee: &#8220;@100046729: I need a bitch&#8221;&#128109;&#128064;&#128523;,1,eng,,davidson
@WebAntOnYT btw Jim crow laws were supported by democrats not republicans and MLK was a republican #Fact,0,eng,,davidson
@Tristine214 I tried one of them pom pomegranate juices n I swear it tasted like flavored piss.........dont ask lol,1,eng,,davidson
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",1,eng,,davidson
"RT @YoungBuddhaBruh: @WestSideFlee it all depends on the female dawg, usually that's how it is with these hoes but the genuine women fuck w&#8230;",1,eng,,davidson
RT @DennisssBeauty: @VivaLaZulema looked like Princess Bella in that yellow dress&#128120;&#128120;,0,eng,,davidson
"RT @NikoWavy: A lot of bitches like to gamble, but not with money. They put their emotions, feelings and heart on the line.",1,eng,,davidson
This nigga over here telling me he dont fuck with this bitch . When he do &#128553;&#128514;&#128514;. Or maybe she lying lol,1,eng,,davidson
RT @thereal_EMandM: Settling down is for pussies,1,eng,,davidson
அந்த பக்கம்தான் வழி,0,tam,0.0,
"""How you doing, crazy bitch?"" is hilarious!",1,eng,,davidson
"I fuck with lux and his knowledge but mooks presence, delivery is connecting more to the people. Crazy.",1,eng,,davidson
"Work ,nigga fuck work!! It's Friday bitches, fuck Friday!! All about Saturday !!! Tomorrow will be epic!!",1,eng,,davidson
现在他应该已经到了。,0,cmn,0.0,
"Do your dick hang low, do it wobble to and fro, can you tie it in a knot, can you stick it in a hoe?",1,eng,,davidson
@ReiddH i agree my fellow cracker.,1,eng,,davidson
RT @BallinInHD: Behind every lame ass nigga... is a lame ass bitch that is constantly telling him how real he is...,1,eng,,davidson
"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone",1,eng,,davidson
यह कपड़ा खाल से चिपकता है।,0,hin,0.0,
@edouglas528 Quick game for Sox Yanks.....hope you get home soon,0,eng,,davidson
"ion sell vics no mo
ion drink lean no mo
bitch ion even smoke tree no mo",1,eng,,davidson
You hate football your a faggot,1,eng,,davidson
I hope you all accidentally get a fat black bitch pregnant,1,eng,,davidson
&#8220;@OhThatsLee Uhoh you got the hoes lol RT @verbally_abrupt: Y'all I found this letter on my car. http://t.co/lu58HimXxS&#8221; Naaah,1,eng,,davidson
@c_mccann23 fuck yes we are &#128540; triple xp nigguh,1,eng,,davidson
What episode number was this?,0,eng,0.0,
RT @YoungMiddleEric: Y'all niggas ain't no killas y'all niggaz some hoes...,1,eng,,davidson
"She cares tho. Appreciate her. Lol RT @Jollymann: A trolling bitch is a lonely bitch.""",1,eng,,davidson
RT @BeardedGemini: &#8220;@GinaSanabria_: I have no hoes&#8221;,1,eng,,davidson
RT @_ayejayydoe: This hoe never called me like she said @UglyAssAyeKay,1,eng,,davidson
I'm just tryna get to sleep before the birds start getting rowdy.,0,eng,,davidson
@ElJefeDeJefes4C damn bitches on a niggas mind haha,1,eng,,davidson
"&#8220;@OnStar: #Mondays are a whole lot better when you're driving a vehicle http://t.co/LIixxMzNdZ&#8221;

""That white pussy uhhh get ya""",1,eng,,davidson
वह किताब को खरीदना चाहता था।,0,hin,0.0,
&#8220;@KarynHalpin: Where do all the foreskins go when they circumcise a guy?&#8221; the Foreskin Fairy takes them after you put them under your pillow,0,eng,,davidson
@Pandah_Pooh put your money up pussy,1,eng,,davidson
RT @billmanoussakis: Damn I fuck bitches I guess,1,eng,,davidson
எனக்கு முன்னால் நட,0,tam,0.0,
"Guy tweets: I wanna eat some pussy

Follower replies: facts! 

Girl tweets: I wanna suck some dick

Follower replies: hoe!!!

NOT FAIR",1,eng,,davidson
These niggas ain't shit but hoes with tricks,1,eng,,davidson
Okay. Here. IF #natitude is SOOOOO COOL&gt; How come you bitches don't call Obama by BO JINGO? That's what I thought. #gobuycomb,1,eng,,davidson
@JacobbBacker fag,1,eng,,davidson
@ImToBlame you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,1,eng,,davidson
I got dirty birds hey shoot like Larry bird hey,0,eng,,davidson
So much more going on but hypocrisy doesn't sit well with me. My redneck family from central Illinois more black then Bieber!,0,eng,,davidson
I remember the VA Tech band called us planet of the apes. I was ready to flip,0,eng,,davidson
Es la cosa más estúpida que he dicho nunca.,1,spa,0.6,
Everybody got foreign bitches and foreign cars &#128564;&#128564;,1,eng,,davidson
@lkxox_ bitch*,1,eng,,davidson
"grew up in this shit stuck wit da shit, u too pussy to fuck wit dis shit but im in love wit dis shit",1,eng,,davidson
Even they know you my bitch,1,eng,,davidson
how many of U hoes bad ass little kids dont their medication and cut up in school every week?,1,eng,,davidson
RT @YoungDG_: Thats yo bitch she my bitch too,1,eng,,davidson
RT @xDSmooth: Free my niggah @1BookieG,1,eng,,davidson
@maggie_burdis @nickgoldapp lmao dude you are probably the biggest fag in nebraska &#128514;&#128514;&#128514;&#128514;&#128514;,1,eng,,davidson
"&#8220;@_nicolehayley_: @Thompson_Era ahhh you know who? So smart Donny! &#128516; but YES RT &#128514;&#8221;

Yass! I'm glad you speak your mind to these 2faces hoes",1,eng,,davidson
RT @titaaaR15: Dumb bitch,1,eng,,davidson
"RT @_Fvfx: Pussy will always be my fav iggy song, like how do you not like a song that just says pussy numerous amounts of time.",1,eng,,davidson
@irwinhype thank you so much. it was a bitch move of her to pull. but thank you &#10084;&#65039;,1,eng,,davidson
All these Hoes fuckin ! But they don't wanna seem like a hoe you gotta hit them ona D LO !,1,eng,,davidson
Yas bitches http://t.co/yey8ml5snK,1,eng,,davidson
"""¿Qué habrá en la cueva? Tengo curiosidad."" ""No tengo ni idea.""",0,spa,0.0,
RT @iDntWearCondoms: 0 hoes.,1,eng,,davidson
I'm on a boat bitch,1,eng,,davidson
Don't trust a bitch who's nail polish is chipping off.,1,eng,,davidson
&#8220;@zooyorkinit: @whattheflocka lol love you ;)&#8221; little bitch,1,eng,,davidson
"RT @_TraeMartinez: @ATRLfan @ChocolVte_ @baesuschrist @VikkiNoSecrets bitch you ugly as fuck, are you a fuck tranny ? Get Alligator face as&#8230;",1,eng,,davidson
Females always tryna make a nigga feel bad about some shit like bitch I'ma smoke this weed and be happy all day,1,eng,,davidson
I love to feed the pussy,1,eng,,davidson
"&#8220;@Taggs0967: @NigelDixon1 @CALiboy4 Nigel, you don't think he knows what he did was dumb? How smart are you?&#8221; Shut your bitch ass up",1,eng,,davidson
RT @I_Be_kOoLz Food be good...except that rice they cook that bitch on Monday for the week + Tootsies?,0,eng,,davidson
RT @MaryWCVB: Still waiting for Charlie Baker to take the stage in Swampscott. #wcvb http://t.co/lYb3Thm199,0,eng,,davidson
Someone tell the royals to stay home there trash&#128553;,0,eng,,davidson
Heard some good news today and all I gotta say is karma is a bitch &#128521;&#128139;&#9996;&#65039;,1,eng,,davidson
RT @PRAYINGFORHEAD: mmy nigga flavio said deuces hoe http://t.co/pcMVjQXmUZ,1,eng,,davidson
&#128064; bitches giving back rubs ?,1,eng,,davidson
So niggers really believe Phelps just smokin on a regular huh? Tell me now &amp; I'll log off for the night,1,eng,,davidson
