text,isHate,original_language,confidence,source,language,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation
他看完了一本汉语语法书，从而对中文的用法有了更深的了解。,0,cmn,0.0,tatoeba,,,,,,,,,
祝你morningfantastic,0,cmn,0.0,synthetic_neutral,,,,,,,,,
死了妻子的人叫做鰥夫。,1,cmn,0.65,tatoeba,,,,,,,,,
犹太人应该死,1,cmn,0.75,synthetic_hate,,,,,,,,,
所有女性都应该被消灭,1,cmn,0.75,synthetic_hate,,,,,,,,,
她正要离开家。,0,cmn,0.0,tatoeba,,,,,,,,,
哎呀......,0,cmn,0.0,tatoeba,,,,,,,,,
他是利茲大學的英文系教授。,0,cmn,0.0,tatoeba,,,,,,,,,
我上機之前打了電話給兒子，叫他去機場接我。,1,cmn,0.55,tatoeba,,,,,,,,,
所有女性都是恶心的,1,cmn,0.75,synthetic_hate,,,,,,,,,
我很喜欢他，不是因为他人很好，而是因为他很正直。,0,cmn,0.1,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
所有同性恋都应该滚开,1,cmn,0.85,synthetic_hate,,,,,,,,,
疯狂 愚蠢 穆斯林,1,cmn,0.55,,cmn,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
同性恋应该死,1,cmn,0.85,synthetic_hate,,,,,,,,,
目前我待在酒店。,0,cmn,0.0,tatoeba,,,,,,,,,
食物和被子被送到难民手中。,1,cmn,0.55,tatoeba,,,,,,,,,
所有穆斯林都应该被消灭,1,cmn,0.75,synthetic_hate,,,,,,,,,
这首诗混合了诗歌和散文。,0,cmn,0.0,tatoeba,,,,,,,,,
要是还有别的事需要我帮忙，就给我打电话。,1,cmn,0.55,tatoeba,,,,,,,,,
我能吃这只橙子吗？,0,cmn,0.0,tatoeba,,,,,,,,,
全班同学每周出席一次。,0,cmn,0.0,,,,,,,,,,
你把我当傻子吗?,1,cmn,0.55,tatoeba,,,,,,,,,
我来拿去再把它煮一下。,0,cmn,0.0,tatoeba,,,,,,,,,
黑色很衬你。,0,cmn,0.0,tatoeba,,,,,,,,,
今晚稍早，我接到馬侃參議員打來，態度非常懇切的電話。馬侃參議員已打完一場漫長艱苦的選戰。他為這個他所熱愛的國家所打的仗更久，更艱苦。他為美國的奉獻犧牲，是我們多數同胞難以想像的。因為有他這位勇敢無私的領袖的奉獻，我們才能過比較好的日子。,1,cmn,0.75,tatoeba,,,,,,,,,
我能打开盒子吗?,1,cmn,0.55,tatoeba,,,,,,,,,
同性恋是恶心的垃圾,1,cmn,0.85,synthetic_hate,,,,,,,,,
女人是废物和可怕,1,cmn,0.75,synthetic_hate,,,,,,,,,
这次大选创造了多项第一，也诞生了很多将世代流传的故事。但是今天晚上令我难忘的却是在亚特兰大投票的一名妇女：安-尼克松-库波尔。她和其他数百万排队等待投票的选民没有什么差别，除了一点：她已是106岁的高龄。,0,cmn,0.0,tatoeba,,,,,,,,,
耶稣是玛丽亚所生。,1,cmn,0.55,tatoeba,,,,,,,,,
这件事至关重要。,0,cmn,0.0,tatoeba,,,,,,,,,
我很累，早早就上床了。,0,cmn,0.0,tatoeba,,,,,,,,,
我该打扫房间吗 ?,1,cmn,0.55,tatoeba,,,,,,,,,
他善用他的天赋。,0,cmn,0.0,tatoeba,,,,,,,,,
你的艺术细胞很丰富，所以搞装潢设计完全行。,0,cmn,0.1,tatoeba,,,,,,,,,
Muiriel现在20岁了。,0,cmn,0.0,,,,,,,,,,
所有女性都是愚蠢的,1,cmn,0.55,synthetic_hate,,,,,,,,,
“爸爸，这是真的剑吗？”“当然，毕竟这是一场对决。”,0,cmn,0.0,tatoeba,,,,,,,,,
天色很暗，但我們還是找到路回家。,0,cmn,0.0,tatoeba,,,,,,,,,
從太空裏看，地球是個十分美麗的星球。,0,cmn,0.0,tatoeba,,,,,,,,,
女性是低贱的废物,1,cmn,0.75,synthetic_hate,,,,,,,,,
穆斯林都是无用,1,cmn,0.55,synthetic_hate,,,,,,,,,
你襯衫的第二粒衣鈕好像快要掉下來了。,0,cmn,0.1,tatoeba,,,,,,,,,
能否告诉我去车站的路怎么走？,0,cmn,0.0,tatoeba,,,,,,,,,
我们不在的时候，需要有人照看婴儿。,0,cmn,0.0,tatoeba,,,,,,,,,
在人行道上走。,0,cmn,0.0,tatoeba,,,,,,,,,
回来的路上有一起交通事故。,0,cmn,0.0,tatoeba,,,,,,,,,
死了?,1,cmn,0.65,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
把蛋放入沸水中。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我准备好帮你。,0,cmn,0.1,tatoeba,,,,,,,,,
她好像很讨厌你。,1,cmn,0.55,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
這個秋季有很多颱風。,0,cmn,0.0,tatoeba,,,,,,,,,
我好想念你。,0,cmn,0.1,tatoeba,,,,,,,,,
{target}是可怕和恶心,1,cmn,0.55,synthetic_hate,,,,,,,,,
桌子腿被他装好了。,0,cmn,0.1,tatoeba,,,,,,,,,
{target}是可恨和讨厌,1,cmn,0.75,synthetic_hate,,,,,,,,,
我对未来感到满意,0,cmn,1.0,synthetic_neutral,,,,,,,,,
黑人应该待在地狱,1,cmn,0.55,synthetic_hate,,,,,,,,,
不用，洗一洗、吹一吹吧。,0,cmn,0.0,tatoeba,,,,,,,,,
哎哟，碰上堵车，急死人了！,1,cmn,0.65,tatoeba,,,,,,,,,
一斤四元五毛，便宜得不得了！,0,cmn,0.0,tatoeba,,,,,,,,,
拜託你開門讓我進來吧。,0,cmn,0.0,tatoeba,,,,,,,,,
我们必须学会像兄弟一样共同生活，要么就像傻子一样同归于尽。,1,cmn,0.55,,,,,,,,,,
汽车发生故障了。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
您有日本啤酒吗？,0,cmn,0.0,tatoeba,,,,,,,,,
他死得不幸福。,1,cmn,0.65,tatoeba,,,,,,,,,
所有犹太人都是讨厌的,1,cmn,0.55,synthetic_hate,,,,,,,,,
你是一个死,1,cmn,0.65,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我妈妈烧饭很棒。,1,cmn,0.55,tatoeba,,,,,,,,,
女性是无用和无耻,1,cmn,0.55,synthetic_hate,,,,,,,,,
我听说他打麻将很厉害。,1,cmn,0.55,,,,,,,,,,
我希望最后一切都好。,1,cmn,0.55,,,,,,,,,,
你曾经得过重病吗？,0,cmn,0.0,tatoeba,,,,,,,,,
赤膊上街太难看。,0,cmn,0.0,tatoeba,,,,,,,,,
他們正在調查這件事。,0,cmn,0.0,tatoeba,,,,,,,,,
他十年中第一次回家。,0,cmn,0.0,tatoeba,,,,,,,,,
不能不去哦。,0,cmn,0.0,tatoeba,,,,,,,,,
还有一周就放暑假了。,0,cmn,0.0,tatoeba,,,,,,,,,
她有时候让她的妈妈剪头发。,0,cmn,0.0,tatoeba,,,,,,,,,
晚上不要太晚打我电话。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
您有护照吗？,0,cmn,0.0,tatoeba,,,,,,,,,
放下你们的武器。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我身无分文。,0,cmn,0.0,tatoeba,,,,,,,,,
除了英语，他还会说法语。,0,cmn,0.0,tatoeba,,,,,,,,,
我怕杀害动物。,1,cmn,0.65,tatoeba,,,,,,,,,
他从英国来。,0,cmn,0.0,tatoeba,,,,,,,,,
勤洗浴，勤理发，勤换衣裳，勤打扫房间，卫生第一。,1,cmn,0.55,tatoeba,,,,,,,,,
看来他搞错了。,0,cmn,0.0,tatoeba,,,,,,,,,
我們永遠不會忘記你的親切。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
如果你吃这药，你会觉得好一点。,0,cmn,0.1,tatoeba,,,,,,,,,
我鄙视女人,1,cmn,0.55,synthetic_hate,,,,,,,,,
我把你認成布朗太太了。,0,cmn,0.0,tatoeba,,,,,,,,,
他們從來沒有遇過這樣的問題，所以不知道怎樣處理才好。,0,cmn,0.1,tatoeba,,,,,,,,,
移民不应该存在,1,cmn,0.75,synthetic_hate,,,,,,,,,
我们希望在放假前做完了工作。,0,cmn,0.1,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
比如说，我要到市中心，有什么车子可以坐吗？,0,cmn,0.1,tatoeba,,,,,,,,,
她是被迫和他結婚的。,0,cmn,0.0,tatoeba,,,,,,,,,
今天天气好,0,cmn,0.1,synthetic_neutral,,,,,,,,,
因為窗簾閉上了，所以無法望進裏面。,0,cmn,0.0,tatoeba,,,,,,,,,
让他一个人待着。,0,cmn,0.0,tatoeba,,,,,,,,,
我贊成你的計劃。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
冰冻三尺，非一日之寒。,0,cmn,0.0,tatoeba,,,,,,,,,
博物馆的入口在哪？,0,cmn,0.0,tatoeba,,,,,,,,,
我真是哭笑不得了。,0,cmn,0.0,tatoeba,,,,,,,,,
新鮮水果對身體好。,0,cmn,0.1,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我們始終都有死的一天。,1,cmn,0.65,,,,,,,,,,
吸烟是个坏习惯。,0,cmn,0.0,tatoeba,,,,,,,,,
他假裝聽不見老闆和他說話。,0,cmn,0.0,tatoeba,,,,,,,,,
犹太人不应该存在,1,cmn,0.55,synthetic_hate,,,,,,,,,
跨性别应该待在家里,1,cmn,0.55,synthetic_hate,,,,,,,,,
你昨天為甚麼缺席？,0,cmn,0.0,tatoeba,,,,,,,,,
我想要成为吉他手。,0,cmn,0.0,tatoeba,,,,,,,,,
你現在不好好儲蓄金錢的話，終有一天會後悔的。,0,cmn,0.1,tatoeba,,,,,,,,,
老王，有电话找你。,0,cmn,0.0,tatoeba,,,,,,,,,
他拥有出国留学两年的特权。,0,cmn,0.0,tatoeba,,,,,,,,,
移民都是废物,1,cmn,0.75,synthetic_hate,,,,,,,,,
这个月是几月？,0,cmn,0.0,tatoeba,,,,,,,,,
我打算買支筆送給他。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我們知道了他的住址。,0,cmn,0.0,tatoeba,,,,,,,,,
所有犹太人都是恶心的,1,cmn,0.55,synthetic_hate,,,,,,,,,
跨性别是废物,1,cmn,0.75,synthetic_hate,,,,,,,,,
同性恋是可恨和卑劣,1,cmn,0.75,synthetic_hate,,,,,,,,,
她的地址死活想不起来。,1,cmn,0.65,,,,,,,,,,
从天上看下来，这条河像一条巨蛇。,0,cmn,0.0,tatoeba,,,,,,,,,
我怕死。,1,cmn,0.65,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
很多人覺得有教才有學，但其實這個觀念是錯的。,0,cmn,0.0,tatoeba,,,,,,,,,
我们自己玩吧。,0,cmn,0.0,tatoeba,,,,,,,,,
我恨女性,1,cmn,0.75,synthetic_hate,,,,,,,,,
我去參加舞會，母親就幫忙照顧嬰兒。,0,cmn,0.0,tatoeba,,,,,,,,,
犹太人是杂种,1,cmn,0.65,synthetic_hate,,,,,,,,,
{target}是愚蠢和可怕,0,cmn,0.0,synthetic_hate,,,,,,,,,
是在昨天Jake打破了这扇窗。,1,cmn,0.55,,,,,,,,,,
如果你快一点，还能赶上他。,0,cmn,0.0,,,,,,,,,,
晚安。祝你做個好夢。,0,cmn,0.1,tatoeba,,,,,,,,,
他死後已經過了十年的時間了。,1,cmn,0.65,,,,,,,,,,
也许我会马上放弃然后去打盹。,1,cmn,0.55,,,,,,,,,,
一切都被燒成灰燼了。,1,cmn,0.55,tatoeba,,,,,,,,,
那我就不继续打扰你，玩数独游戏去了。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
如果明天天氣好，我們就去打棒球。,1,cmn,0.55,tatoeba,,,,,,,,,
母親用海綿拭著生病的兒子的臉。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
爆炸的原因是什么？,1,cmn,0.55,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我恨犹太人,1,cmn,0.55,synthetic_hate,,,,,,,,,
不好意思，你好像打錯電話了。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
今天天氣怎樣？,0,cmn,0.0,tatoeba,,,,,,,,,
如果我拼錯了的話，請你糾正。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
女性是愚蠢的蠢货,1,cmn,0.75,synthetic_hate,,,,,,,,,
请填好这张表格。,0,cmn,0.1,tatoeba,,,,,,,,,
这张椅子很舒服。,0,cmn,0.0,tatoeba,,,,,,,,,
同性恋是杂种,1,cmn,0.75,synthetic_hate,,,,,,,,,
世界人口有上升的趨勢。,0,cmn,0.0,tatoeba,,,,,,,,,
我今天有點不舒服。那戶井水是許多疾病的源頭。,0,cmn,0.0,tatoeba,,,,,,,,,
每月六百元，每周一天休息，行吗？,0,cmn,0.0,tatoeba,,,,,,,,,
嚴格來說，蕃茄不是蔬菜，是水果。,0,cmn,0.0,tatoeba,,,,,,,,,
我昨天有病了。,1,cmn,0.55,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
這場派對大家都玩得很開心。,0,cmn,0.0,tatoeba,,,,,,,,,
不是因为读者对某本书不感兴趣，这本书就肯定是有问题的了。,0,cmn,0.0,,,,,,,,,,
他在房子的周围看了看。,0,cmn,0.0,tatoeba,,,,,,,,,
我过去常常去钓鱼。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
你不應在這裏吸煙。,0,cmn,0.0,tatoeba,,,,,,,,,
老人採取了傲慢的態度。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
您有什么事想对我说吗？,0,cmn,0.0,tatoeba,,,,,,,,,
他打了网球。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
教堂位于山脚。,0,cmn,0.0,tatoeba,,,,,,,,,
婚礼那天，我们来到老师家。,0,cmn,0.0,tatoeba,,,,,,,,,
婊子 愚蠢 锡克教,1,cmn,0.65,,cmn,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
你只要努力就可以了。,0,cmn,0.1,tatoeba,,,,,,,,,
她拒絕了他的求婚。,0,cmn,0.0,tatoeba,,,,,,,,,
移民是愚蠢和恶心,1,cmn,0.75,synthetic_hate,,,,,,,,,
我恨黑人,1,cmn,0.75,synthetic_hate,,,,,,,,,
車頭的擋風玻璃被砸至粉碎。,1,cmn,0.55,tatoeba,,,,,,,,,
這碗湯大鹹了，喝不下。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
女人 切 穆斯林,1,cmn,0.85,,cmn,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
那么，咱们走吧。,0,cmn,0.0,tatoeba,,,,,,,,,
所有移民都是卑劣的,1,cmn,0.55,synthetic_hate,,,,,,,,,
舞者的每一個動作都是完美無瑕的。,0,cmn,0.1,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
休息几天吧。,0,cmn,0.0,tatoeba,,,,,,,,,
行。唱个什么？,0,cmn,0.0,tatoeba,,,,,,,,,
学生不该忽略自己的身份。,0,cmn,0.0,,,,,,,,,,
是誰把窗打破了？,1,cmn,0.55,tatoeba,,,,,,,,,
请给我们两把刀和四把叉。,0,cmn,0.0,tatoeba,,,,,,,,,
我受不了他那種無禮的態度。,0,cmn,0.0,tatoeba,,,,,,,,,
你最好睡觉。,0,cmn,0.1,tatoeba,,,,,,,,,
我姐妹是一个很棒的打字员。,1,cmn,0.55,tatoeba,,,,,,,,,
我父亲住在东京，因此在东京工作。,0,cmn,0.1,tatoeba,,,,,,,,,
我至少需要三天来翻译这篇论文。,0,cmn,0.0,tatoeba,,,,,,,,,
那個市場一直在急速擴展。,0,cmn,0.0,tatoeba,,,,,,,,,
书和朋友应该是宁缺毋滥。,0,cmn,0.1,tatoeba,,,,,,,,,
她儲了一百塊。,0,cmn,0.0,tatoeba,,,,,,,,,
这张照片是在奈良市拍的.,0,cmn,0.0,tatoeba,,,,,,,,,
我去听他的演讲去晚了。,0,cmn,0.0,,,,,,,,,,
逆境出人才。,0,cmn,0.0,tatoeba,,,,,,,,,
所有移民都是废物的,1,cmn,0.75,synthetic_hate,,,,,,,,,
所有黑人都是愚蠢的,1,cmn,0.55,synthetic_hate,,,,,,,,,
移民是愚蠢和讨厌,1,cmn,0.75,synthetic_hate,,,,,,,,,
我看他，吃了又睡，睡了又吃，游戏打了又打，懒得不得了！,1,cmn,0.55,tatoeba,,,,,,,,,
移民应该被滚开,1,cmn,0.85,synthetic_hate,,,,,,,,,
残疾人应该待在牢房,1,cmn,0.55,synthetic_hate,,,,,,,,,
他為父親是偉大的科學家而感到自豪。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
你现在的薪水够用吗？,0,cmn,0.0,tatoeba,,,,,,,,,
她對她丈夫的死漠不關心。,1,cmn,0.65,,,,,,,,,,
爸爸一直都在鼓励他。,0,cmn,0.0,tatoeba,,,,,,,,,
这是我见过最美的景色了。,0,cmn,0.0,,,,,,,,,,
这以后要经常锻炼，我买了点补药给你吃吃看。,0,cmn,0.0,tatoeba,,,,,,,,,
所有黑人都应该滚开,1,cmn,0.85,synthetic_hate,,,,,,,,,
我看见远处有灯光。,0,cmn,0.0,tatoeba,,,,,,,,,
晚饭准备好了。,0,cmn,0.1,tatoeba,,,,,,,,,
有個女人向我問路。,1,cmn,0.55,tatoeba,,,,,,,,,
女人是讨厌的杂种,1,cmn,0.85,synthetic_hate,,,,,,,,,
你表上是几点？,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
残疾人是卑劣和可恨,1,cmn,0.75,synthetic_hate,,,,,,,,,
他打算去巴黎旅行。,1,cmn,0.55,tatoeba,,,,,,,,,
请在7、8点之间打给我。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我很喜歡吃西瓜。,0,cmn,0.0,tatoeba,,,,,,,,,
我希望女人消失,1,cmn,0.55,synthetic_hate,,,,,,,,,
同性恋是垃圾,1,cmn,0.75,synthetic_hate,,,,,,,,,
不答应，我从来没有答应过。,0,cmn,0.0,tatoeba,,,,,,,,,
婊子 死 印度教,1,cmn,0.75,,cmn,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
大家都準備好了。,0,cmn,0.1,tatoeba,,,,,,,,,
所有同性恋都是愚蠢的,1,cmn,0.55,synthetic_hate,,,,,,,,,
我勸了他戒煙。,0,cmn,0.0,tatoeba,,,,,,,,,
他天性善良。,0,cmn,0.0,tatoeba,,,,,,,,,
她喜欢拍照片。,0,cmn,0.1,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
那天我丢了我的照相机。,0,cmn,0.0,tatoeba,,,,,,,,,
有一天我去法国是无可避免的，我只是不知道何时。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
谁是你的汉语老师?,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
女性是卑劣的蠢货,1,cmn,0.75,synthetic_hate,,,,,,,,,
不要对批评太敏感了。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
人早晚会死。,1,cmn,0.65,tatoeba,,,,,,,,,
做餐馆服务员啊、酒吧招待员啊，都可以。,0,cmn,0.1,tatoeba,,,,,,,,,
整个国家被大雪覆盖了。,0,cmn,0.0,,,,,,,,,,
你怎么连动也不动？,0,cmn,0.0,tatoeba,,,,,,,,,
老人坐了下来。,0,cmn,0.0,tatoeba,,,,,,,,,
她养各种不同的宠物。,0,cmn,0.0,,,,,,,,,,
那路当然挺远的，我们打的去算了。,1,cmn,0.55,tatoeba,,,,,,,,,
這裏附近有沒有加油站？,0,cmn,0.0,tatoeba,,,,,,,,,
你不能指望我一切都考虑周到！,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
他去钓鱼了，而没去打网球。,1,cmn,0.55,,cmn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我花了很久時間才習慣這噪音。,0,cmn,0.0,tatoeba,,,,,,,,,
总体上说，女人是比男人好的语言学家。,1,cmn,0.55,,,,,,,,,,
我能开电视吗？,0,cmn,0.0,tatoeba,,,,,,,,,
残疾人是恶心的垃圾,1,cmn,0.85,synthetic_hate,,,,,,,,,
你不可以出去。,0,cmn,0.1,tatoeba,,,,,,,,,
女性是无用和可怕,1,cmn,0.55,synthetic_hate,,,,,,,,,
犹太人是废物的废物,1,cmn,0.65,synthetic_hate,,,,,,,,,
当然会的，不过上海话不太会讲。,0,cmn,0.0,tatoeba,,,,,,,,,
一块圆桌玻璃被打碎了。,1,cmn,0.75,tatoeba,,,,,,,,,
我想喝點東西。,0,cmn,0.0,tatoeba,,,,,,,,,
林肯在向远比我们眼下分歧更大的国家发表讲话时说，我们不是敌人，而是朋友……虽然激情可能会褪去，但这不会割断我们感情上的联系。,1,cmn,0.55,tatoeba,,,,,,,,,
世界就是一个疯子的囚笼。,1,cmn,0.55,,,,,,,,,,
我突然想不起她的名字。,0,cmn,0.0,tatoeba,,,,,,,,,
我用絲帶在頭上紮了一個馬尾辮。,0,cmn,0.0,tatoeba,,,,,,,,,
他已经后悔了。,0,cmn,0.0,tatoeba,,,,,,,,,
即使我不同意，他坚持他的观点。,0,cmn,0.0,tatoeba,,,,,,,,,
我唱歌唱得很好。,0,cmn,0.1,tatoeba,,,,,,,,,
John启动了车。,0,cmn,0.0,tatoeba,,,,,,,,,
我爸爸年轻的时候一定很英俊。,0,cmn,0.0,,,,,,,,,,
跨性别是恶心和恶心,1,cmn,0.75,synthetic_hate,,,,,,,,,
不要走得那么快！我跟不上你们了。,0,cmn,0.0,,,,,,,,,,
穆斯林应该被被清除,1,cmn,0.75,synthetic_hate,,,,,,,,,
最后她没有来。,0,cmn,0.0,tatoeba,,,,,,,,,
你吃面条还是吃饭？喝橙汁还是喝咖啡？,0,cmn,0.0,tatoeba,,,,,,,,,
明早九点给我打电话。,1,cmn,0.55,,,,,,,,,,
這是一道深奧的數學題。,0,cmn,0.0,tatoeba,,,,,,,,,
排好队，不要插队！,0,cmn,0.1,tatoeba,,,,,,,,,
这个食物很不错,0,cmn,0.9,synthetic_neutral,,,,,,,,,
你最好打消这么可笑的念头。,1,cmn,0.55,,,,,,,,,,
她对我说8月去巴黎。,0,cmn,0.0,tatoeba,,,,,,,,,
演出后，女演员收到了一束花。,0,cmn,0.0,,cmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
跨性别是讨厌的垃圾,1,cmn,0.85,synthetic_hate,,,,,,,,,
穆斯林是恶心的蠢货,1,cmn,0.85,synthetic_hate,,,,,,,,,
我的头发很容易打卷。,1,cmn,0.55,tatoeba,,,,,,,,,
我们在田里种了蔬菜。,0,cmn,0.0,tatoeba,,,,,,,,,
你的提议值得考虑。,0,cmn,0.0,tatoeba,,,,,,,,,
我甚麼也做不了。,0,cmn,0.0,tatoeba,,,,,,,,,
这一切对我很重要。,1,cmn,0.55,tatoeba,,,,,,,,,
我希望跨性别滚开,1,cmn,0.85,synthetic_hate,,,,,,,,,
Peter办公室里的打印机坏了，不能再打印了。,1,cmn,0.55,,cmn,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
酒是灌入瓶中的诗。,0,cmn,0.0,tatoeba,,,,,,,,,
那個年輕女人手抱著嬰兒。,1,cmn,0.55,tatoeba,,,,,,,,,
我鄙视黑人,1,cmn,0.55,synthetic_hate,,,,,,,,,
在延安路高架上看两面的上海风光，盖了帽了！,0,cmn,0.0,tatoeba,,,,,,,,,
我有一点时间，但总是不多...,0,cmn,0.0,tatoeba,,,,,,,,,
英國人很少在火車上和陌生人搭訕。,0,cmn,0.0,tatoeba,,,,,,,,,
你什么时候去伦敦的？,0,cmn,0.0,tatoeba,,,,,,,,,
­我回来就解释给你听怎么用。,0,cmn,0.0,tatoeba,,,,,,,,,
约翰希望独立于他的父母。,0,cmn,0.0,tatoeba,,,,,,,,,
